src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1212,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1236,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,412,spotify,stream,vpn,HTTP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,HTTP
10.8.8.138,24.156.130.203,55782,80,tcp,0x00,0x40,52,spotify,stream,vpn,TCP
24.156.130.203,10.8.8.138,80,55782,tcp,0x48,0x40,1360,spotify,stream,vpn,TCP
